store_id,clinic_id,address,state,zip,latitude,longitude,COUNTY
10826,2278,1440 BROADWAY,NY,10018,40.7544,-73.9865,36061
2427,911,215 PARK AVENUE SOUTH,NY,10003,40.7369,-73.9885,36061
8968,2242,222 EAST 34TH STREET,NY,10016,40.7448,-73.9765,36061
11059,2491,"1619 BROADWAY, CORNER of WEST 49th STREET",NY,10019,40.761,-73.9845,36061
10298,1821,241 WEST 57TH ST,NY,10019,40.7668,-73.9823,36061
10407,2243,298 MULBERRY ST,NY,10012,40.7251,-73.9947,36061
1928,413,"59 WASHINGTON ST, COURT STREET PLAZA",NJ,07030,40.7366,-74.0309,34017
2498,492,341 9TH STREET,NY,11215,40.6688,-73.9849,36047
3224,2238,130 LENOX AVE.,NY,10026,40.8021,-73.9492,36061
7576,2076,3101 DITMARS BLVD.,NY,11105,40.7761,-73.9104,36081
491,2239,7209 NORTHERN BOULEVARD,NY,11372,40.755,-73.8945,36081
7066,488,565 W 235TH ST,NY,10463,40.8858,-73.9103,36005
7066,488,565 W 235TH ST,NY,10463,40.8858,-73.9103,36061
2950,143,880 RIVER RD,NJ,07646,40.9263,-74.0272,34003
6049,262,1361 HYLAN BLVD,NY,10305,40.5954,-74.0865,36085
6058,14144,260 ARDEN AVE.,NY,10312,40.5538,-74.1929,36085
2700,2241,1402 SHEEPSHEAD BAY ROAD,NY,11235,40.5872,-73.9549,36047
385,14203,220 SCHUYLER AVE,NJ,07032,40.7561,-74.1441,34003
385,14203,220 SCHUYLER AVE,NJ,07032,40.7561,-74.1441,34017
2796,14398,241 WESTFIELD AVE.,NJ,07066,40.6219,-74.3047,34039
2796,14398,241 WESTFIELD AVE.,NJ,07066,40.6219,-74.3047,34023
5771,149,178 MORRIS AVE,NJ,07081,40.7105,-74.3081,34039
7069,1732,3391 HIGHWAY 35,NJ,07730,40.4238,-74.1938,34025
2139,135,2982 COUNTRY RD 516,NJ,08857,40.4025,-74.3131,34023
2815,664,330 RUES LN,NJ,08816,40.4178,-74.4115,34023
2210,165,1239 E PUTNAM AVE,CT,06878,41.0426,-73.5775,9190
1770,225,325 MAMARONECK AVE,NY,10605,41.0253,-73.7631,36119
1949,218,1310 BOSTON POST RD,NY,10538,40.9369,-73.7475,36119
1958,203,55 COLD SPRING RD,NY,11791,40.8268,-73.5006,36059
2432,221,375 WHITE PLAINS RD,NY,10709,40.9541,-73.8142,36119
531,939,325 ROUTES 100,NY,10589,41.326,-73.6884,36119
5300,1428,1000 BERGEN TOWN CTR,NJ,07652,40.9169,-74.0625,34003
549,2237,61-15 METROPOLITAN AVE.,NY,11385,40.713,-73.9011,36081
716,317,269 LIVINGSTON ST STE A,NJ,07647,41.0144,-73.9467,34003
10618,14149,5326 West 11000 North,UT,84003,40.4323,-111.7855,49049
10187,2100,11385 SOUTH 700 EAST,UT,84070,40.5448,-111.8711,49035
10210,14187,330 ROUTE 304,NY,10954,41.1097,-73.9956,36087
1109,988,7 DURANT AVE,CT,06801,41.3731,-73.4141,9190
822,1034,40 EAST ST,CT,06776,41.5794,-73.4077,9190
822,1034,40 EAST ST,CT,06776,41.5794,-73.4077,9160
1123,162,22 DEPOT HILL RD,CT,06488,41.4753,-73.2178,9140
2572,1378,1 HAWLEY LN,CT,06614,41.2306,-73.1532,9120
2572,1378,1 HAWLEY LN,CT,06614,41.2306,-73.1532,9140
381,144,303 FRANKLIN AVE,NJ,07481,41.0118,-74.1658,34003
212,1038,681 RESERVOIR AVE,RI,02910,41.781,-71.4431,44007
729,848,799 HOPE ST,RI,02906,41.849,-71.3946,44007
6466,1756,2340 GAR HWY,MA,02777,41.7686,-71.2648,25005
394,1720,"1479 NEWMAN AVE, RoJacks Plaza",MA,02771,41.8883,-71.3321,25005
