FIPS,ST,County,DiabetesPct
00066,GU,Guam,47
00004,AZ,Arizona,11.5
00006,CA,California,13.6
00002,AK,Alaska,8.7
00001,AL,Alabama,28.6
00004,AZ,Arizona,15.5
00012,FL,Florida,2.6
00008,CO,Colorado,8.1
00011,DC,District of Columbia,1.9
00001,AL,Alabama,14.8
00013,GA,Georgia,2.8
00008,CO,Colorado,14.2
00004,AZ,Arizona,12.7
00005,AR,Arkansas,
00010,DE,Delaware,19.7
00005,AR,Arkansas,
00010,DE,Delaware,15
00002,AK,Alaska,17
00001,AL,Alabama,15.5
00012,FL,Florida,12.2
00015,HI,Hawaii,9.7
00009,CT,Connecticut,13.2
00066,GU,Guam,23
00015,HI,Hawaii,4.6
00006,CA,California,11.4
00006,CA,California,25.2
00008,CO,Colorado,
00066,GU,Guam,
00001,AL,Alabama,4.1
00004,AZ,Arizona,23.4
00015,HI,Hawaii,11.7
00009,CT,Connecticut,9.3
00011,DC,District of Columbia,15.6
00013,GA,Georgia,13.7
00010,DE,Delaware,12.9
00011,DC,District of Columbia,
00015,HI,Hawaii,12.6
00006,CA,California,25.6
00002,AK,Alaska,6.6
00004,AZ,Arizona,11.7
00005,AR,Arkansas,28.2
00012,FL,Florida,
00001,AL,Alabama,
00010,DE,Delaware,
00015,HI,Hawaii,15.6
00001,AL,Alabama,
00013,GA,Georgia,
00011,DC,District of Columbia,3
00010,DE,Delaware,
00002,AK,Alaska,8.7
00008,CO,Colorado,
00011,DC,District of Columbia,19.3
00015,HI,Hawaii,5.4
00006,CA,California,11.4
00013,GA,Georgia,12.1
00001,AL,Alabama,18.8
00008,CO,Colorado,6.9
00009,CT,Connecticut,10.7
00008,CO,Colorado,
00009,CT,Connecticut,
00002,AK,Alaska,8.2
00013,GA,Georgia,11.6
00006,CA,California,12.4
00008,CO,Colorado,17.5
00009,CT,Connecticut,
00015,HI,Hawaii,20.3
00009,CT,Connecticut,20.2
00002,AK,Alaska,11.8
00013,GA,Georgia,11
00066,GU,Guam,
00011,DC,District of Columbia,7.9
00010,DE,Delaware,12.8
00066,GU,Guam,21.6
00066,GU,Guam,26.1
00009,CT,Connecticut,9.7
00066,GU,Guam,19
00005,AR,Arkansas,16.1
00010,DE,Delaware,13.9
00011,DC,District of Columbia,8
00008,CO,Colorado,8.8
00010,DE,Delaware,8.2
00009,CT,Connecticut,11.6
00005,AR,Arkansas,15.7
00004,AZ,Arizona,
00005,AR,Arkansas,15.4
00066,GU,Guam,26.1
00012,FL,Florida,
00012,FL,Florida,
00066,GU,Guam,20.2
00009,CT,Connecticut,15.1
00011,DC,District of Columbia,8.1
00002,AK,Alaska,7.8
00013,GA,Georgia,25.8
00005,AR,Arkansas,20
00008,CO,Colorado,2.6
00006,CA,California,11.1
00012,FL,Florida,14
00013,GA,Georgia,
00004,AZ,Arizona,11.1
00002,AK,Alaska,10.9
00001,AL,Alabama,
00015,HI,Hawaii,9.5
00002,AK,Alaska,8.7
00004,AZ,Arizona,
00002,AK,Alaska,7.6
00002,AK,Alaska,2.9
00004,AZ,Arizona,4.1
00011,DC,District of Columbia,
00008,CO,Colorado,
00004,AZ,Arizona,18.4
00004,AZ,Arizona,14
00011,DC,District of Columbia,
00066,GU,Guam,30.6
00010,DE,Delaware,23.8
00004,AZ,Arizona,
00009,CT,Connecticut,2.9
00012,FL,Florida,
00012,FL,Florida,18.9
00001,AL,Alabama,
00005,AR,Arkansas,15.6
00005,AR,Arkansas,21.2
00009,CT,Connecticut,
00009,CT,Connecticut,10
00015,HI,Hawaii,10.9
00006,CA,California,14.7
00012,FL,Florida,11.5
00066,GU,Guam,
00005,AR,Arkansas,9
00008,CO,Colorado,10.7
00013,GA,Georgia,11.5
00015,HI,Hawaii,
00011,DC,District of Columbia,14.8
00013,GA,Georgia,16.9
00008,CO,Colorado,10.6
00010,DE,Delaware,
00015,HI,Hawaii,14.8
00012,FL,Florida,10.5
00012,FL,Florida,13.2
00012,FL,Florida,25.2
00001,AL,Alabama,16.3
00011,DC,District of Columbia,
00006,CA,California,11.5
00015,HI,Hawaii,15.4
00066,GU,Guam,7.8
00001,AL,Alabama,14.7
00009,CT,Connecticut,14
00010,DE,Delaware,
00002,AK,Alaska,
00005,AR,Arkansas,16.2
00013,GA,Georgia,
00010,DE,Delaware,4.2
00010,DE,Delaware,18.1
00001,AL,Alabama,
00001,AL,Alabama,21.5
00006,CA,California,9.5
00004,AZ,Arizona,17
00008,CO,Colorado,7.4
00005,AR,Arkansas,15.8
00002,AK,Alaska,20.6
00005,AR,Arkansas,5.4
00012,FL,Florida,10.8
00006,CA,California,3.6
00066,GU,Guam,
00013,GA,Georgia,16
00013,GA,Georgia,12.6
00011,DC,District of Columbia,
00015,HI,Hawaii,
00006,CA,California,12
00006,CA,California,24.4
00022,LA,Louisiana,27.8
00016,ID,Idaho,9
00028,MS,Mississippi,14.6
00017,IL,Illinois,12.5
00016,ID,Idaho,9.6
00029,MO,Missouri,16.7
00023,ME,Maine,13.5
00031,NE,Nebraska,
00018,IN,Indiana,11.6
00028,MS,Mississippi,15.3
00017,IL,Illinois,
00023,ME,Maine,12
00032,NV,Nevada,21
00025,MA,Massachusetts,9.1
00022,LA,Louisiana,16.8
00021,KY,Kentucky,
00019,IA,Iowa,11.3
00029,MO,Missouri,10.4
00017,IL,Illinois,3.9
00016,ID,Idaho,
00030,MT,Montana,2.3
00032,NV,Nevada,
00030,MT,Montana,7.4
00026,MI,Michigan,
00031,NE,Nebraska,9.7
00027,MN,Minnesota,
00032,NV,Nevada,13.6
00022,LA,Louisiana,7.1
00026,MI,Michigan,16.3
00029,MO,Missouri,10.8
00030,MT,Montana,10.1
00025,MA,Massachusetts,12
00017,IL,Illinois,
00019,IA,Iowa,3.5
