FIPS,ST,County,HypertensionPct
00009,CT,Connecticut,34.9
00010,DE,Delaware,36.2
00013,GA,Georgia,40.2
00016,ID,Idaho,30.5
00016,ID,Idaho,32.7
00019,IA,Iowa,28.4
00023,ME,Maine,56.6
00023,ME,Maine,14
00024,MD,Maryland,37.5
00028,MS,Mississippi,57.1
00029,MO,Missouri,59.4
00030,MT,Montana,32
00035,NM,New Mexico,31.8
00039,OH,Ohio,35.6
00040,OK,Oklahoma,37.9
00072,PR,Puerto Rico,63.7
00046,SD,South Dakota,38.4
00059,US,United States,
00049,UT,Utah,22.7
00050,VT,Vermont,18.5
00051,VA,Virginia,34.6
00054,WV,West Virginia,21.4
00001,AL,Alabama,83
00001,AL,Alabama,43
00001,AL,Alabama,48.8
00001,AL,Alabama,
00001,AL,Alabama,24.3
00001,AL,Alabama,44.6
00001,AL,Alabama,41.8
00001,AL,Alabama,24.8
00001,AL,Alabama,
00001,AL,Alabama,
00001,AL,Alabama,58.1
00001,AL,Alabama,43.2
00001,AL,Alabama,
00001,AL,Alabama,17.6
00001,AL,Alabama,37.8
00001,AL,Alabama,17.7
00001,AL,Alabama,41.5
00001,AL,Alabama,34.8
00001,AL,Alabama,40.6
00001,AL,Alabama,39.3
00001,AL,Alabama,
00001,AL,Alabama,21.1
00001,AL,Alabama,
00001,AL,Alabama,94.9
00001,AL,Alabama,
00001,AL,Alabama,87.3
00001,AL,Alabama,23.3
00001,AL,Alabama,58.6
00001,AL,Alabama,48.6
00001,AL,Alabama,48.4
00001,AL,Alabama,87.9
00001,AL,Alabama,52.5
00001,AL,Alabama,
00001,AL,Alabama,
00001,AL,Alabama,
00001,AL,Alabama,54.1
00001,AL,Alabama,69.6
00001,AL,Alabama,40.9
00001,AL,Alabama,
00001,AL,Alabama,40.1
00001,AL,Alabama,
00001,AL,Alabama,42.7
00001,AL,Alabama,34.6
00001,AL,Alabama,39.8
00001,AL,Alabama,84.8
00001,AL,Alabama,
00001,AL,Alabama,39.1
00001,AL,Alabama,40.9
00001,AL,Alabama,37.2
00001,AL,Alabama,78.1
00001,AL,Alabama,83.8
00001,AL,Alabama,
00036,NY,New York,42.8
00006,CA,California,34
00005,AR,Arkansas,54.9
00006,CA,California,32.4
00011,DC,District of Columbia,49.8
00005,AR,Arkansas,38.8
00010,DE,Delaware,25.6
00005,AR,Arkansas,38.4
00006,CA,California,37.5
00005,AR,Arkansas,49.6
00009,CT,Connecticut,70
00005,AR,Arkansas,34.9
00009,CT,Connecticut,
00009,CT,Connecticut,34.2
00010,DE,Delaware,53.5
00005,AR,Arkansas,
00009,CT,Connecticut,29.7
00011,DC,District of Columbia,29.6
00004,AZ,Arizona,34.1
00006,CA,California,31.1
00011,DC,District of Columbia,20.9
00011,DC,District of Columbia,26.3
00005,AR,Arkansas,67.6
00006,CA,California,
00008,CO,Colorado,30.7
00008,CO,Colorado,33.3
00002,AK,Alaska,29.7
00004,AZ,Arizona,30.9
00008,CO,Colorado,8.9
00010,DE,Delaware,83
00006,CA,California,89
00010,DE,Delaware,53.8
00005,AR,Arkansas,
00005,AR,Arkansas,39.8
00002,AK,Alaska,40.5
00010,DE,Delaware,37.5
00011,DC,District of Columbia,29.2
00009,CT,Connecticut,83.9
00008,CO,Colorado,50.7
00009,CT,Connecticut,76.7
00009,CT,Connecticut,83.8
00004,AZ,Arizona,33.1
00011,DC,District of Columbia,38.7
00009,CT,Connecticut,41.9
00002,AK,Alaska,51
00008,CO,Colorado,20.6
00002,AK,Alaska,32.2
00009,CT,Connecticut,28.1
00005,AR,Arkansas,44.7
00004,AZ,Arizona,35.1
00008,CO,Colorado,26
00010,DE,Delaware,40.8
00005,AR,Arkansas,42
00008,CO,Colorado,30.4
00009,CT,Connecticut,47.9
00010,DE,Delaware,43.9
00009,CT,Connecticut,56.8
00011,DC,District of Columbia,29.1
00004,AZ,Arizona,34.7
00002,AK,Alaska,74.3
00009,CT,Connecticut,
00002,AK,Alaska,19.6
00004,AZ,Arizona,34.4
00010,DE,Delaware,
00009,CT,Connecticut,
00002,AK,Alaska,33.4
00006,CA,California,22.8
00004,AZ,Arizona,75
00008,CO,Colorado,
00002,AK,Alaska,32.9
00009,CT,Connecticut,22.6
00011,DC,District of Columbia,32.1
00006,CA,California,79.3
00002,AK,Alaska,32.4
00008,CO,Colorado,72.5
00005,AR,Arkansas,37.2
00008,CO,Colorado,23.9
00010,DE,Delaware,25.7
00008,CO,Colorado,20.4
00006,CA,California,33.8
00010,DE,Delaware,
00010,DE,Delaware,29.1
00006,CA,California,33.6
00005,AR,Arkansas,26.7
00008,CO,Colorado,11.5
00008,CO,Colorado,36.3
00008,CO,Colorado,31.3
00005,AR,Arkansas,85.5
00009,CT,Connecticut,29.7
00004,AZ,Arizona,28.1
00005,AR,Arkansas,48.7
00002,AK,Alaska,51.1
00005,AR,Arkansas,16
00010,DE,Delaware,32
00006,CA,California,30.2
00002,AK,Alaska,
00002,AK,Alaska,67.8
00005,AR,Arkansas,80
00004,AZ,Arizona,22.9
00005,AR,Arkansas,
00009,CT,Connecticut,
00002,AK,Alaska,39.5
00004,AZ,Arizona,39.4
00008,CO,Colorado,23.4
00005,AR,Arkansas,
00008,CO,Colorado,56
00005,AR,Arkansas,34.7
00006,CA,California,73
00002,AK,Alaska,23
00008,CO,Colorado,30.9
00009,CT,Connecticut,32.6
00010,DE,Delaware,33.8
00008,CO,Colorado,88.2
00008,CO,Colorado,
00011,DC,District of Columbia,13.1
00008,CO,Colorado,19.9
00005,AR,Arkansas,85.5
00011,DC,District of Columbia,29.4
00005,AR,Arkansas,36.9
00010,DE,Delaware,
00011,DC,District of Columbia,27.9
00011,DC,District of Columbia,
00004,AZ,Arizona,35.4
00011,DC,District of Columbia,62.1
00004,AZ,Arizona,28.3
00006,CA,California,38.4
00009,CT,Connecticut,27.9
00002,AK,Alaska,73.9
00002,AK,Alaska,27
00011,DC,District of Columbia,62.2
00009,CT,Connecticut,34.6
00004,AZ,Arizona,27.9
00008,CO,Colorado,16.9
00005,AR,Arkansas,40.8
00004,AZ,Arizona,51.4
00009,CT,Connecticut,31.6
00002,AK,Alaska,33.1
00009,CT,Connecticut,80.1
00010,DE,Delaware,
00011,DC,District of Columbia,25.4
00004,AZ,Arizona,
00008,CO,Colorado,
00010,DE,Delaware,40.8
00002,AK,Alaska,30.2
00002,AK,Alaska,
00009,CT,Connecticut,48.4
00002,AK,Alaska,
00011,DC,District of Columbia,79.7
00002,AK,Alaska,14.7
00009,CT,Connecticut,32.8
00002,AK,Alaska,40.2
00006,CA,California,32.5
00010,DE,Delaware,39.5
00004,AZ,Arizona,13.6
00006,CA,California,30.1
00006,CA,California,34.3
00006,CA,California,65.3
00005,AR,Arkansas,34.6
00005,AR,Arkansas,40.7
00009,CT,Connecticut,33.4
00010,DE,Delaware,27.8
00011,DC,District of Columbia,30.4
00008,CO,Colorado,
00008,CO,Colorado,36.6
00005,AR,Arkansas,39.5
00011,DC,District of Columbia,
00008,CO,Colorado,23
00009,CT,Connecticut,
00010,DE,Delaware,34.9
00006,CA,California,
00011,DC,District of Columbia,29.8
00006,CA,California,40.1
00010,DE,Delaware,37.7
00009,CT,Connecticut,32.6
00004,AZ,Arizona,
00006,CA,California,40.3
00008,CO,Colorado,17
00004,AZ,Arizona,35.2
00010,DE,Delaware,37.7
00009,CT,Connecticut,36.6
00010,DE,Delaware,62.4
00008,CO,Colorado,33.1
00005,AR,Arkansas,
00010,DE,Delaware,
00006,CA,California,
