FIPS,ST,County,ObesityPct
00006,CA,California,25.5
00009,CT,Connecticut,28.6
00015,HI,Hawaii,18
00021,KY,Kentucky,25.6
00038,ND,North Dakota,33.3
00049,UT,Utah,31.1
00056,WY,Wyoming,34.2
00010,DE,Delaware,28.3
00012,FL,Florida,24.5
00011,DC,District of Columbia,23.2
00009,CT,Connecticut,15.5
00008,CO,Colorado,14.3
00004,AZ,Arizona,33.8
00008,CO,Colorado,30.2
00013,GA,Georgia,32.3
00012,FL,Florida,36.7
00011,DC,District of Columbia,11.6
00006,CA,California,20.1
00005,AR,Arkansas,32.3
00008,CO,Colorado,25
00001,AL,Alabama,33.4
00012,FL,Florida,19.7
00008,CO,Colorado,24.9
00001,AL,Alabama,39.4
00005,AR,Arkansas,35.3
00005,AR,Arkansas,
00002,AK,Alaska,37.2
00066,GU,Guam,32.7
00011,DC,District of Columbia,16.2
00004,AZ,Arizona,38.4
00010,DE,Delaware,
00015,HI,Hawaii,25.9
00004,AZ,Arizona,26.1
00009,CT,Connecticut,
00009,CT,Connecticut,38.4
00013,GA,Georgia,
00010,DE,Delaware,35.4
00066,GU,Guam,25.7
00015,HI,Hawaii,14.3
00011,DC,District of Columbia,15.1
00002,AK,Alaska,21.9
00066,GU,Guam,29.9
00002,AK,Alaska,24.2
00009,CT,Connecticut,30.4
00002,AK,Alaska,31.2
00011,DC,District of Columbia,26.4
00013,GA,Georgia,24.6
00001,AL,Alabama,29.1
00015,HI,Hawaii,17.8
00004,AZ,Arizona,26.5
00011,DC,District of Columbia,13.8
00066,GU,Guam,19.1
00066,GU,Guam,27.3
00066,GU,Guam,36.1
00001,AL,Alabama,30
00013,GA,Georgia,17.2
00009,CT,Connecticut,
00012,FL,Florida,21.6
00011,DC,District of Columbia,14.3
00002,AK,Alaska,24.8
00002,AK,Alaska,
00002,AK,Alaska,
00004,AZ,Arizona,43.5
00066,GU,Guam,32.6
00012,FL,Florida,25.4
00001,AL,Alabama,37.4
00009,CT,Connecticut,33.7
00001,AL,Alabama,35.8
00066,GU,Guam,23.7
00006,CA,California,25.9
00004,AZ,Arizona,21.2
00004,AZ,Arizona,29.7
00008,CO,Colorado,16.8
00012,FL,Florida,22.2
00009,CT,Connecticut,28.9
00002,AK,Alaska,33.5
00004,AZ,Arizona,47.9
00006,CA,California,23
00066,GU,Guam,41.2
00010,DE,Delaware,24.1
00008,CO,Colorado,15.8
00013,GA,Georgia,34.8
00005,AR,Arkansas,36.5
00011,DC,District of Columbia,25.7
00001,AL,Alabama,44.7
00002,AK,Alaska,19.2
00009,CT,Connecticut,
00010,DE,Delaware,20.7
00008,CO,Colorado,12.8
00012,FL,Florida,30.8
00002,AK,Alaska,32.1
00012,FL,Florida,31.6
00002,AK,Alaska,35.3
00015,HI,Hawaii,
00013,GA,Georgia,18.8
00002,AK,Alaska,24.2
00066,GU,Guam,
00008,CO,Colorado,39.2
00004,AZ,Arizona,
00012,FL,Florida,29.1
00013,GA,Georgia,
00011,DC,District of Columbia,12.6
00013,GA,Georgia,34.1
00005,AR,Arkansas,39.8
00011,DC,District of Columbia,
00011,DC,District of Columbia,18.3
00015,HI,Hawaii,24.8
00012,FL,Florida,29.1
00010,DE,Delaware,37.9
00002,AK,Alaska,36.2
00012,FL,Florida,
00012,FL,Florida,35.2
00010,DE,Delaware,35
00013,GA,Georgia,45.7
00013,GA,Georgia,45.3
00005,AR,Arkansas,37.4
00002,AK,Alaska,31.3
00011,DC,District of Columbia,33.5
00066,GU,Guam,19.4
00008,CO,Colorado,22.2
00006,CA,California,12.5
00006,CA,California,27.8
00004,AZ,Arizona,20.2
00010,DE,Delaware,26.5
00010,DE,Delaware,35.3
00002,AK,Alaska,18.2
00006,CA,California,31.2
00008,CO,Colorado,13.3
00011,DC,District of Columbia,26.4
00012,FL,Florida,37.6
00013,GA,Georgia,24
00008,CO,Colorado,20.9
00013,GA,Georgia,31.9
00002,AK,Alaska,16.5
00005,AR,Arkansas,30.3
00015,HI,Hawaii,24.6
00005,AR,Arkansas,34.5
00010,DE,Delaware,30.2
00008,CO,Colorado,17.8
00006,CA,California,17.9
00004,AZ,Arizona,18
00009,CT,Connecticut,30.1
00006,CA,California,17.2
00010,DE,Delaware,
00001,AL,Alabama,
00006,CA,California,25.8
00006,CA,California,28.6
00006,CA,California,28.4
00011,DC,District of Columbia,27
00001,AL,Alabama,35.8
00013,GA,Georgia,36.3
00004,AZ,Arizona,17
00015,HI,Hawaii,29.7
00011,DC,District of Columbia,
00009,CT,Connecticut,34.3
00011,DC,District of Columbia,
00009,CT,Connecticut,37.1
00011,DC,District of Columbia,5.1
00004,AZ,Arizona,39.6
00001,AL,Alabama,35.1
00009,CT,Connecticut,22.1
00005,AR,Arkansas,36.2
00066,GU,Guam,28
00004,AZ,Arizona,23.4
00010,DE,Delaware,
00006,CA,California,23.6
00004,AZ,Arizona,32.7
00001,AL,Alabama,21.6
00001,AL,Alabama,34.2
00015,HI,Hawaii,
00006,CA,California,38.6
00006,CA,California,19.9
00001,AL,Alabama,31.6
00015,HI,Hawaii,18.8
00008,CO,Colorado,28
00066,GU,Guam,35.8
00004,AZ,Arizona,33.2
00006,CA,California,27.7
00002,AK,Alaska,27.1
00009,CT,Connecticut,26.5
00015,HI,Hawaii,
00008,CO,Colorado,25.2
00010,DE,Delaware,40.1
00012,FL,Florida,40.9
00002,AK,Alaska,29.7
00012,FL,Florida,32.4
00010,DE,Delaware,
00004,AZ,Arizona,28.7
00006,CA,California,26
00013,GA,Georgia,41.1
00066,GU,Guam,35.2
00012,FL,Florida,29.2
00010,DE,Delaware,35.3
00013,GA,Georgia,34.1
00009,CT,Connecticut,30.8
00006,CA,California,18
00005,AR,Arkansas,
00001,AL,Alabama,
00006,CA,California,42.4
00009,CT,Connecticut,26.5
00010,DE,Delaware,43.1
00015,HI,Hawaii,17.9
00005,AR,Arkansas,27.6
00013,GA,Georgia,27.3
00005,AR,Arkansas,24.1
00009,CT,Connecticut,
00012,FL,Florida,
00004,AZ,Arizona,41.5
00005,AR,Arkansas,43.8
00011,DC,District of Columbia,20.5
00012,FL,Florida,28.8
00011,DC,District of Columbia,17.6
00002,AK,Alaska,33.4
00005,AR,Arkansas,
00008,CO,Colorado,23.9
00004,AZ,Arizona,
00008,CO,Colorado,29
00012,FL,Florida,24.4
00013,GA,Georgia,17.3
00006,CA,California,27.2
00010,DE,Delaware,
00001,AL,Alabama,
00005,AR,Arkansas,18.7
00001,AL,Alabama,36.2
00010,DE,Delaware,26.6
00005,AR,Arkansas,39.5
00066,GU,Guam,36.6
00004,AZ,Arizona,26.9
00066,GU,Guam,23.5
00011,DC,District of Columbia,10.9
00012,FL,Florida,
00009,CT,Connecticut,30.6
00011,DC,District of Columbia,21.5
00066,GU,Guam,41
00005,AR,Arkansas,40.7
00009,CT,Connecticut,13.4
00001,AL,Alabama,24.9
00015,HI,Hawaii,17.5
00010,DE,Delaware,23.5
00009,CT,Connecticut,19.9
00004,AZ,Arizona,
00006,CA,California,36
00015,HI,Hawaii,28.1
00001,AL,Alabama,23.4
00001,AL,Alabama,38.3
00011,DC,District of Columbia,39.2
00002,AK,Alaska,28
00011,DC,District of Columbia,
00004,AZ,Arizona,30.4
00066,GU,Guam,
00001,AL,Alabama,30.8
00010,DE,Delaware,28.6
00008,CO,Colorado,19.5
00008,CO,Colorado,15.8
00010,DE,Delaware,40.5
00002,AK,Alaska,27.6
00001,AL,Alabama,
00008,CO,Colorado,14.7
00006,CA,California,21.9
00006,CA,California,19.3
00005,AR,Arkansas,
00009,CT,Connecticut,28.8
00012,FL,Florida,26.5
00066,GU,Guam,45.9
00008,CO,Colorado,24.1
00005,AR,Arkansas,43.3
00066,GU,Guam,
00004,AZ,Arizona,31.4
00009,CT,Connecticut,20.3
00006,CA,California,28.1
00010,DE,Delaware,20.1
00066,GU,Guam,27.9
00013,GA,Georgia,38.3
00008,CO,Colorado,17.3
00008,CO,Colorado,
00013,GA,Georgia,17.9
00015,HI,Hawaii,20.6
00015,HI,Hawaii,28.9
00002,AK,Alaska,33.3
00015,HI,Hawaii,23.9
00009,CT,Connecticut,23.1
00005,AR,Arkansas,34.9
00004,AZ,Arizona,19.3
00002,AK,Alaska,17.6
00011,DC,District of Columbia,
00012,FL,Florida,29.3
00013,GA,Georgia,23.4
00009,CT,Connecticut,19.5
00008,CO,Colorado,24.2
00013,GA,Georgia,23.8
00012,FL,Florida,26.6
00001,AL,Alabama,50.2
00002,AK,Alaska,36.6
00011,DC,District of Columbia,
00004,AZ,Arizona,29.4
00009,CT,Connecticut,
00001,AL,Alabama,29.1
00005,AR,Arkansas,30.6
00066,GU,Guam,23.1
00010,DE,Delaware,
00015,HI,Hawaii,21.3
00066,GU,Guam,44.5
00005,AR,Arkansas,39.4
