FIPS,STATE,ST_ABBR,COUNTY,E_TOTPOP,EP_POV150,EP_UNEMP,EP_NOHSDP,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_UNINSUR,EP_DISABL,EP_NOVEH,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
01001,Alabama,AL,Autauga County,58761,20.2,2.8,9.6,5.6,27.4,0.4,7.4,16.4,4.0,0.2367,0.3675,0.6354,0.2358,0.2663
01003,Alabama,AL,Baldwin County,233420,18.3,3.4,8.4,4.2,17.7,0.8,9.3,13.9,2.3,0.3433,0.2883,0.489,0.4308,0.3487
01005,Alabama,AL,Barbour County,24877,37.7,5.8,23.5,11.3,55.4,2.0,10.7,18.1,11.7,0.9399,0.9399,0.8941,0.9959,0.9927
01007,Alabama,AL,Bibb County,22251,29.0,8.7,21.1,7.2,25.8,0.3,8.4,19.6,7.5,0.8893,0.4954,0.6185,0.8931,0.8451
01009,Alabama,AL,Blount County,59077,22.9,6.0,18.2,5.3,14.3,2.2,10.2,17.0,4.8,0.6866,0.7884,0.413,0.3532,0.6166
01011,Alabama,AL,Bullock County,10328,47.4,3.7,26.6,16.3,79.4,1.8,12.2,11.2,10.4,0.8654,0.5138,0.9809,0.9491,0.8985
01013,Alabama,AL,Butler County,18981,33.8,6.8,12.4,7.2,49.1,0.1,11.0,16.2,5.0,0.8441,0.6106,0.8661,0.217,0.6872
01015,Alabama,AL,Calhoun County,116162,28.7,6.9,14.9,6.9,29.5,0.5,10.8,20.2,5.6,0.854,0.65,0.658,0.7114,0.8145
01017,Alabama,AL,Chambers County,34612,28.8,3.6,16.5,5.6,45.7,0.3,10.8,20.8,7.0,0.7171,0.5317,0.8396,0.9469,0.8295
01019,Alabama,AL,Cherokee County,25069,25.6,4.0,18.1,4.6,9.3,0.9,10.2,20.3,3.2,0.6077,0.6494,0.2628,0.1152,0.406
01021,Alabama,AL,Chilton County,45140,22.8,5.3,17.8,3.8,20.9,2.1,11.5,19.4,3.3,0.5924,0.6837,0.5425,0.2698,0.5336
01023,Alabama,AL,Choctaw County,12669,31.9,5.2,17.6,6.5,43.5,0.3,8.2,23.6,5.7,0.6901,0.798,0.8151,0.2539,0.6548
